Model,TumourType,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-101,GC,untreated,"UNKNOWN,Untreated",single,257.7,21,68.4,11,9.2,25,PD
X-1027,CRC,untreated,"UNKNOWN,Untreated",single,470.6,17,187.9,14,3.2,17,PD
X-105,GC,untreated,"UNKNOWN,Untreated",single,225.2,23,79.0,13,10.9,44,PD
X-1055,CRC,untreated,"UNKNOWN,Untreated",single,274.1,22,81.9,12,7.1,33,PD
X-1119,CRC,untreated,"UNKNOWN,Untreated",single,291.4,21,38.2,11,10.3,29,PD
X-114,GC,untreated,"UNKNOWN,Untreated",single,144.1,21,49.3,12,13.3,49,PD
X-1156,NSCLC,untreated,"UNKNOWN,Untreated",single,832.6,20,135.8,13,4.5,20,PD
X-1167,CRC,untreated,"UNKNOWN,Untreated",single,102.9,20,20.2,12,19.5,36,PD
X-1172,NSCLC,untreated,"UNKNOWN,Untreated",single,357.7,14,142.5,12,2.0,14,PD
X-1173,CRC,untreated,"UNKNOWN,Untreated",single,300.0,21,66.1,13,11.1,30,PD
X-1189,NSCLC,untreated,"UNKNOWN,Untreated",single,-45.2,34,-10.9,39,39.0,39,SD
X-1199,PDAC,untreated,"UNKNOWN,Untreated",single,23.5,27,15.8,14,47.9,70,SD-->PD
X-1228,NSCLC,untreated,"UNKNOWN,Untreated",single,99.1,20,52.2,11,20.1,39,PD
X-1270,CRC,untreated,"UNKNOWN,Untreated",single,25.6,18,16.5,14,26.0,56,SD-->PD
X-1286,BRCA,untreated,"UNKNOWN,Untreated",single,340.5,21,107.0,14,9.5,28,PD
X-1289,PDAC,untreated,"UNKNOWN,Untreated",single,221.5,23,41.0,12,11.0,33,PD
X-129,GC,untreated,"UNKNOWN,Untreated",single,132.2,20,32.6,13,17.3,31,PD
X-1290,CRC,untreated,"UNKNOWN,Untreated",single,425.9,21,77.8,13,9.3,30,PD
X-1298,BRCA,untreated,"UNKNOWN,Untreated",single,322.5,27,59.6,12,11.6,37,PD
X-1303,CRC,untreated,"UNKNOWN,Untreated",single,441.0,23,143.6,11,5.2,23,PD
X-1317,PDAC,untreated,"UNKNOWN,Untreated",single,256.7,18,46.8,11,11.1,18,PD
X-1323,NSCLC,untreated,"UNKNOWN,Untreated",single,387.8,20,94.9,13,5.8,22,PD
X-1329,CRC,untreated,"UNKNOWN,Untreated",single,353.7,23,75.6,15,8.1,29,PD
